time,sleepHours,firstThing,weather,goodBad,mood
5:31,9,Meditate,Rainy,True,refreshed
6:25,14,Phone,Cloudy,False,refreshed
7:38,12,Shower,Clear,True,refreshed
5:28,12,Meditate,Clear,True,tired
13:11,13,Eat,Rainy,True,happy
6:05,8,Dress,Clear,True,lazy
5:51,12,Phone,Cloudy,True,groggy
7:27,9,Eat,Rainy,True,refreshed
11:57,7,Meditate,Clear,True,tired
12:46,12,Eat,Clear,False,groggy
4:26,14,Shower,Clear,False,refreshed
9:59,8,Shower,Rainy,True,sad
8:42,13,Meditate,Rainy,False,tired
11:36,6,Shower,Cloudy,False,refreshed
12:42,5,Dress,Clear,False,happy
6:05,14,Phone,Clear,False,happy
7:25,11,Phone,Clear,True,lazy
11:59,7,Meditate,Cloudy,False,groggy
9:52,12,Shower,Sunny,True,tired
4:07,11,Eat,Clear,True,sad
10:49,13,Shower,Sunny,False,lazy
5:09,10,Dress,Hail,True,lazy
9:27,8,Exercise,Cloudy,False,groggy
4:44,7,Shower,Rainy,False,happy
13:39,14,Phone,Snowy,True,sad
9:49,5,Meditate,Rainy,True,lazy
5:27,10,Meditate,Rainy,False,tired
9:36,5,Meditate,Cloudy,False,refreshed
5:05,6,Eat,Rainy,True,tired
9:03,6,Phone,Rainy,False,happy
5:14,4,Dress,Rainy,True,refreshed
11:50,6,Dress,Cloudy,True,groggy
7:46,8,Phone,Clear,False,refreshed
11:58,14,Phone,Clear,False,lazy
7:16,7,Shower,Clear,False,refreshed
5:44,6,Phone,Hail,True,refreshed
5:36,11,Shower,Sunny,False,tired
12:38,12,Phone,Cloudy,False,groggy
4:28,12,Exercise,Foggy,True,happy
5:21,10,Exercise,Clear,True,groggy
10:16,13,Phone,Clear,False,refreshed
13:54,11,Exercise,Rainy,False,lazy
10:24,9,Exercise,Rainy,True,sad
6:02,9,Shower,Foggy,False,lazy
13:23,14,Exercise,Snowy,True,tired
8:00,9,Exercise,Clear,True,refreshed
8:48,12,Phone,Hail,False,happy
12:31,7,Dress,Clear,False,lazy
10:00,6,Phone,Rainy,False,tired
9:20,8,Shower,Clear,True,sad
9:25,14,Shower,Sunny,True,sad
9:08,6,Eat,Cloudy,True,happy
9:25,13,Phone,Clear,True,sad
11:29,5,Eat,Snowy,True,happy
5:39,12,Phone,Clear,True,lazy
6:16,12,Eat,Clear,False,sad
6:47,13,Exercise,Hail,True,lazy
12:01,13,Eat,Rainy,False,tired
6:59,5,Phone,Clear,True,refreshed
9:30,14,Shower,Clear,False,refreshed
10:35,7,Meditate,Clear,False,lazy
10:55,9,Dress,Hail,True,lazy
11:30,7,Phone,Rainy,False,sad
5:02,5,Dress,Rainy,False,refreshed
5:13,14,Exercise,Cloudy,False,refreshed
13:35,11,Exercise,Foggy,True,happy
7:30,8,Phone,Rainy,False,tired
11:48,11,Eat,Clear,False,tired
4:30,13,Phone,Cloudy,True,groggy
4:57,6,Shower,Cloudy,True,groggy
5:03,7,Dress,Clear,True,tired
11:10,5,Meditate,Hail,True,sad
9:40,11,Shower,Snowy,False,refreshed
4:06,9,Shower,Sunny,False,groggy
11:55,6,Dress,Clear,False,sad
8:36,10,Phone,Clear,True,refreshed
11:39,6,Dress,Foggy,False,sad
6:16,13,Eat,Cloudy,True,sad
5:08,8,Shower,Clear,True,lazy
11:50,10,Shower,Clear,False,groggy
12:20,4,Dress,Rainy,False,groggy
12:01,8,Dress,Foggy,True,happy
4:28,13,Meditate,Clear,True,sad
8:01,5,Shower,Cloudy,True,refreshed
11:20,4,Exercise,Sunny,False,tired
13:54,14,Phone,Foggy,False,lazy
9:33,11,Shower,Foggy,False,groggy
4:29,11,Meditate,Rainy,True,refreshed
6:44,13,Exercise,Hail,False,happy
6:57,9,Meditate,Cloudy,True,refreshed
5:38,4,Shower,Foggy,True,sad
10:00,9,Shower,Sunny,True,groggy
4:40,9,Shower,Sunny,True,lazy
4:04,14,Shower,Rainy,False,sad
6:24,8,Shower,Clear,True,happy
10:42,4,Shower,Rainy,False,sad
12:42,9,Exercise,Cloudy,True,sad
4:03,9,Phone,Snowy,True,refreshed
10:00,14,Shower,Rainy,False,happy
12:47,7,Dress,Foggy,False,refreshed
10:22,12,Shower,Foggy,True,happy
13:19,13,Dress,Foggy,False,lazy
4:12,5,Shower,Cloudy,False,refreshed
11:56,12,Shower,Snowy,False,lazy
4:36,13,Exercise,Cloudy,True,refreshed
10:55,12,Eat,Rainy,False,groggy
4:23,9,Eat,Clear,False,tired
10:23,5,Eat,Rainy,True,tired
5:02,6,Meditate,Clear,False,refreshed
12:37,11,Phone,Cloudy,True,happy
7:34,7,Eat,Clear,False,happy
4:15,10,Shower,Snowy,False,refreshed
8:39,10,Phone,Cloudy,False,lazy
4:21,10,Phone,Clear,True,groggy
7:59,5,Exercise,Rainy,False,sad
11:01,6,Shower,Rainy,True,tired
12:22,4,Phone,Cloudy,False,sad
10:57,14,Meditate,Rainy,True,groggy
11:58,14,Eat,Cloudy,False,sad
11:25,12,Eat,Sunny,False,lazy
13:23,10,Eat,Clear,False,sad
11:01,12,Meditate,Cloudy,False,groggy
11:51,14,Eat,Rainy,False,groggy
7:37,11,Dress,Snowy,True,groggy
4:33,5,Phone,Sunny,False,tired
11:47,8,Exercise,Cloudy,True,lazy
6:53,12,Eat,Clear,True,happy
4:11,9,Shower,Clear,True,happy
11:45,14,Phone,Clear,True,groggy
5:50,6,Meditate,Foggy,False,tired
5:03,9,Shower,Snowy,True,sad
12:37,7,Meditate,Rainy,True,happy
5:04,7,Phone,Clear,False,refreshed
13:01,7,Meditate,Clear,True,happy
13:43,13,Eat,Rainy,True,sad
6:52,9,Dress,Sunny,True,groggy
10:18,13,Exercise,Clear,False,groggy
8:53,13,Eat,Clear,False,happy
4:20,8,Shower,Rainy,True,happy
12:41,14,Dress,Cloudy,True,refreshed
7:36,10,Meditate,Cloudy,False,sad
4:03,12,Phone,Rainy,False,happy
11:53,7,Exercise,Rainy,False,tired
4:13,5,Eat,Cloudy,True,groggy
7:10,14,Meditate,Rainy,False,refreshed
11:13,4,Eat,Sunny,False,happy
13:46,11,Eat,Sunny,False,sad
10:18,7,Exercise,Sunny,False,tired
7:02,11,Phone,Clear,False,refreshed
10:58,9,Shower,Foggy,True,refreshed
4:03,7,Meditate,Sunny,False,sad
7:58,11,Phone,Sunny,True,lazy
8:29,11,Dress,Clear,True,happy
5:12,12,Eat,Rainy,False,tired
5:38,14,Dress,Hail,True,tired
4:31,7,Meditate,Rainy,True,happy
9:35,6,Eat,Cloudy,True,happy
7:14,14,Shower,Hail,False,sad
10:33,5,Meditate,Cloudy,True,lazy
10:07,11,Meditate,Hail,True,refreshed
11:22,14,Shower,Rainy,True,groggy
8:43,8,Meditate,Snowy,False,happy
